image_name,label,image_path,height_cm,weight_kg,age_months
Screenshot-2024-11-04-153115_png.rf.49d73c1163416f91fd2f939a4de28e69.jpg,1,C:\Users\NUPUR\OneDrive\Desktop\MIT\Dhatu-Scan\dhatu-scan\python-backend\training\data\images\Screenshot-2024-11-04-153115_png.rf.49d73c1163416f91fd2f939a4de28e69.jpg,640.0,,
Screenshot-2024-10-30-154033_png.rf.542d111add90155c6cb5b5b358d99431.jpg,1,C:\Users\NUPUR\OneDrive\Desktop\MIT\Dhatu-Scan\dhatu-scan\python-backend\training\data\images\Screenshot-2024-10-30-154033_png.rf.542d111add90155c6cb5b5b358d99431.jpg,640.0,,
Screenshot-2024-11-04-154006_png.rf.d71e578816ba7c5cb04dec9694e45c27.jpg,0,C:\Users\NUPUR\OneDrive\Desktop\MIT\Dhatu-Scan\dhatu-scan\python-backend\training\data\images\Screenshot-2024-11-04-154006_png.rf.d71e578816ba7c5cb04dec9694e45c27.jpg,640.0,,
Screenshot-2024-11-04-153837_png.rf.22376e4612c423e8f0f9231a2c5d13ff.jpg,0,C:\Users\NUPUR\OneDrive\Desktop\MIT\Dhatu-Scan\dhatu-scan\python-backend\training\data\images\Screenshot-2024-11-04-153837_png.rf.22376e4612c423e8f0f9231a2c5d13ff.jpg,640.0,,
Screenshot-2024-11-04-155103_png.rf.cfb3555b2dcf5c1f6dce98ba4ec54004.jpg,0,C:\Users\NUPUR\OneDrive\Desktop\MIT\Dhatu-Scan\dhatu-scan\python-backend\training\data\images\Screenshot-2024-11-04-155103_png.rf.cfb3555b2dcf5c1f6dce98ba4ec54004.jpg,640.0,,
Screenshot-2024-11-04-152003_png.rf.1f70998334ed28c4107c833d83697c51.jpg,1,C:\Users\NUPUR\OneDrive\Desktop\MIT\Dhatu-Scan\dhatu-scan\python-backend\training\data\images\Screenshot-2024-11-04-152003_png.rf.1f70998334ed28c4107c833d83697c51.jpg,640.0,,
Screenshot-2024-11-04-143709_png.rf.026572ff1f8ffae46984fb8a88a78e08.jpg,1,C:\Users\NUPUR\OneDrive\Desktop\MIT\Dhatu-Scan\dhatu-scan\python-backend\training\data\images\Screenshot-2024-11-04-143709_png.rf.026572ff1f8ffae46984fb8a88a78e08.jpg,640.0,,
Screenshot-2024-11-04-154214_png.rf.9d09d6513b361a0d94030387a83ed01e.jpg,1,C:\Users\NUPUR\OneDrive\Desktop\MIT\Dhatu-Scan\dhatu-scan\python-backend\training\data\images\Screenshot-2024-11-04-154214_png.rf.9d09d6513b361a0d94030387a83ed01e.jpg,640.0,,
Screenshot-2024-11-04-151801_png.rf.e900de03eb77a4b4c69d73e972d877e4.jpg,1,C:\Users\NUPUR\OneDrive\Desktop\MIT\Dhatu-Scan\dhatu-scan\python-backend\training\data\images\Screenshot-2024-11-04-151801_png.rf.e900de03eb77a4b4c69d73e972d877e4.jpg,640.0,,
Screenshot-2024-11-04-153225_png.rf.39b1eee340ab32a38007b0216b2f891a.jpg,1,C:\Users\NUPUR\OneDrive\Desktop\MIT\Dhatu-Scan\dhatu-scan\python-backend\training\data\images\Screenshot-2024-11-04-153225_png.rf.39b1eee340ab32a38007b0216b2f891a.jpg,640.0,,
